epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7526316046714783,0.0010000000474974513,0.649139404296875,0.8459183573722839,0.4269976019859314
1,0.8311403393745422,0.0010000000474974513,0.43711596727371216,0.8377550840377808,0.3939218521118164
2,0.851754367351532,0.0010000000474974513,0.3949715197086334,0.8826530575752258,0.33477041125297546
3,0.8578947186470032,0.0010000000474974513,0.3621712327003479,0.8663265109062195,0.355831116437912
4,0.8646929860115051,0.0010000000474974513,0.3550938069820404,0.8744897842407227,0.32331541180610657
5,0.8807017803192139,0.0010000000474974513,0.3149029016494751,0.8775510191917419,0.30462706089019775
6,0.8813596367835999,0.0010000000474974513,0.31909462809562683,0.8897958993911743,0.3070371150970459
7,0.8820175528526306,0.0010000000474974513,0.309019535779953,0.8836734890937805,0.30002549290657043
8,0.8901315927505493,0.0010000000474974513,0.29919958114624023,0.8897958993911743,0.3060184121131897
9,0.8921052813529968,0.0010000000474974513,0.292233407497406,0.8846938610076904,0.30213961005210876
10,0.894956111907959,0.0010000000474974513,0.28351226449012756,0.8928571343421936,0.26798737049102783
11,0.8910087943077087,0.0010000000474974513,0.2823905944824219,0.8989796042442322,0.2857646346092224
12,0.8986842036247253,0.0010000000474974513,0.26073557138442993,0.9061224460601807,0.26341766119003296
13,0.8991228342056274,0.0010000000474974513,0.26156067848205566,0.9020408391952515,0.2494402527809143
14,0.890350878238678,0.0010000000474974513,0.27381631731987,0.8877550959587097,0.2850252091884613
15,0.9065789580345154,0.0010000000474974513,0.25566792488098145,0.9071428775787354,0.27697545289993286
16,0.9006578922271729,0.0010000000474974513,0.24519401788711548,0.9091836810112,0.2746283710002899
17,0.8986842036247253,0.0010000000474974513,0.25748997926712036,0.8979591727256775,0.2832220196723938
18,0.909649133682251,0.0010000000474974513,0.2468622773885727,0.8979591727256775,0.27850082516670227
19,0.9122806787490845,0.0005000000237487257,0.2227025181055069,0.8959183692932129,0.2686620056629181
20,0.9206140637397766,0.0005000000237487257,0.21420742571353912,0.9020408391952515,0.24546939134597778
21,0.9236842393875122,0.0005000000237487257,0.19843579828739166,0.9142857193946838,0.2368367612361908
22,0.9254385828971863,0.0005000000237487257,0.1955786943435669,0.9061224460601807,0.24296890199184418
23,0.9241228103637695,0.0005000000237487257,0.18839000165462494,0.9071428775787354,0.2480546236038208
24,0.9267544150352478,0.0005000000237487257,0.184562548995018,0.9091836810112,0.2443234920501709
25,0.9304824471473694,0.0005000000237487257,0.19068077206611633,0.905102014541626,0.23290227353572845
26,0.9293859601020813,0.0005000000237487257,0.18472705781459808,0.9061224460601807,0.2335015833377838
27,0.9267544150352478,0.0005000000237487257,0.18799656629562378,0.9122449159622192,0.23757478594779968
28,0.9311403632164001,0.0005000000237487257,0.17930097877979279,0.9102040529251099,0.23895367980003357
29,0.9348683953285217,0.0005000000237487257,0.1632346361875534,0.9102040529251099,0.2523060142993927
30,0.9315789341926575,0.0005000000237487257,0.176991805434227,0.9061224460601807,0.23645974695682526
31,0.9401316046714783,0.0002500000118743628,0.16461072862148285,0.9122449159622192,0.22137786448001862
32,0.944298267364502,0.0002500000118743628,0.15223655104637146,0.9173469543457031,0.20620061457157135
33,0.941447377204895,0.0002500000118743628,0.14964619278907776,0.918367326259613,0.20793405175209045
34,0.9447368383407593,0.0002500000118743628,0.14247643947601318,0.9163265228271484,0.23318049311637878
35,0.9366227984428406,0.0002500000118743628,0.1515766680240631,0.9193877577781677,0.22265467047691345
36,0.941447377204895,0.0002500000118743628,0.14818432927131653,0.9234693646430969,0.21895185112953186
37,0.9469298124313354,0.0002500000118743628,0.14050404727458954,0.9153061509132385,0.2145562469959259
38,0.9480262994766235,0.0001250000059371814,0.13093434274196625,0.9204081892967224,0.21330079436302185
39,0.9467105269432068,0.0001250000059371814,0.13447530567646027,0.9204081892967224,0.22429874539375305
40,0.9530701637268066,0.0001250000059371814,0.12767265737056732,0.9204081892967224,0.21834763884544373
41,0.9462719559669495,0.0001250000059371814,0.13954752683639526,0.9204081892967224,0.2245369255542755
42,0.9497807025909424,0.0001250000059371814,0.13377150893211365,0.9244897961616516,0.2121201455593109
43,0.9550438523292542,6.25000029685907e-05,0.12156408280134201,0.9214285612106323,0.21675564348697662
44,0.9521929621696472,6.25000029685907e-05,0.1285003274679184,0.9214285612106323,0.2158140242099762
